developer_id,ticket_id,completion_time,revisions,sentiment_score
1,1,23.1,3,0.77
1,2,8.7,4,0.87
1,3,24.5,6,0.77
1,4,6.0,1,0.77
1,5,15.8,5,0.97
1,6,35.1,3,0.87
1,7,7.9,6,0.77
2,1,7.6,2,1.0
2,2,28.1,4,0.74
2,3,18.3,0,0.84
2,4,20.1,2,1.0
2,5,23.0,8,0.74
3,1,29.5,4,1.0
3,2,16.8,3,0.71
3,3,10.5,1,0.91
3,4,33.8,5,1.0
3,5,21.1,1,1.0
3,6,18.9,4,0.81
3,7,27.5,0,1.0
3,8,22.8,4,1.0
3,9,17.2,0,1.0
3,10,18.6,1,1.0
4,1,34.6,4,0.88
4,2,12.8,4,0.78
4,3,33.3,6,0.88
4,4,11.9,3,1.0
4,5,17.9,7,0.98
4,6,7.0,7,0.68
4,7,18.3,4,0.88
4,8,11.8,8,0.68
4,9,8.7,8,0.68
4,10,13.7,0,0.88
4,11,22.1,8,0.68
4,12,21.1,2,0.98
4,13,30.2,1,0.98
4,14,21.5,7,0.78
4,15,12.4,3,0.88
4,16,40.7,3,0.98
4,17,9.2,3,1.0
5,1,32.1,3,1.0
5,2,8.9,2,0.75
5,3,31.3,6,0.85
5,4,19.6,0,0.95
5,5,25.2,1,0.95
5,6,22.1,1,1.0
5,7,22.4,0,0.95
5,8,11.4,6,0.85
5,9,18.7,4,0.95
6,1,39.7,9,0.72
6,2,13.1,0,0.72
6,3,22.4,1,0.92
6,4,12.1,4,1.0
6,5,6.7,0,0.92
6,6,11.1,0,0.72
6,7,19.9,0,0.72
6,8,7.8,4,0.82
6,9,18.4,0,0.72
6,10,25.9,4,0.62
6,11,11.2,0,0.92
6,12,5.8,0,1.0
6,13,21.8,1,0.72
6,14,10.2,6,0.92
6,15,16.9,0,0.72
6,16,10.5,6,0.92
6,17,32.5,3,0.72
6,18,13.6,2,1.0
6,19,9.4,1,0.92
7,1,28.3,1,0.89
7,2,32.9,6,0.89
7,3,10.7,5,0.79
7,4,15.1,6,0.89
7,5,19.6,0,0.99
7,6,18.5,4,0.59
7,7,28.1,4,0.69
7,8,34.2,2,0.89
8,1,22.0,1,0.96
8,2,28.5,5,0.66
8,3,10.3,7,0.56
8,4,8.3,0,0.56
8,5,24.3,4,0.66
8,6,13.7,1,0.86
8,7,8.4,5,0.56
8,8,16.7,1,0.66
8,9,20.1,4,0.86
8,10,25.7,4,0.86
8,11,21.9,7,0.56
8,12,40.2,3,0.66
8,13,20.8,3,0.96
8,14,22.9,2,0.86
8,15,12.2,5,0.86
8,16,35.8,7,0.86
8,17,5.8,0,0.66
8,18,23.4,2,0.96
9,1,20.7,4,0.73
9,2,7.7,10,0.53
9,3,25.1,6,0.73
9,4,7.0,3,0.53
9,5,13.5,8,0.63
9,6,3.5,4,0.83
9,7,33.6,4,0.83
9,8,23.1,6,0.53
9,9,8.1,6,0.73
9,10,9.0,0,0.53
9,11,12.3,1,0.93
9,12,12.4,0,0.73
10,1,37.4,0,1.0
10,2,22.7,2,0.8
10,3,14.7,5,0.8
10,4,24.9,7,0.8
10,5,24.1,4,1.0
10,6,29.4,4,0.9
11,1,20.9,4,0.97
11,2,6.6,0,1.0
11,3,12.6,0,1.0
11,4,9.4,4,0.97
11,5,13.7,1,0.77
11,6,15.6,1,0.97
11,7,22.2,4,0.87
11,8,20.2,0,0.97
11,9,18.9,3,1.0
11,10,35.6,1,0.87
11,11,24.3,2,1.0
11,12,15.0,3,0.97
11,13,23.8,3,0.87
11,14,23.4,6,1.0
11,15,18.5,5,1.0
11,16,8.7,7,0.87
11,17,6.6,5,0.87
12,1,9.0,7,1.0
12,2,20.0,1,1.0
12,3,34.9,7,0.74
12,4,21.3,0,0.84
12,5,14.4,1,1.0
