developer_id,ticket_id,completion_time,revisions,sentiment_score
1,23,18.9,6,1.0
1,27,9.7,4,1.0
1,24,4.7,0,0.97
2,22,16.1,2,1.0
2,23,9.3,0,1.0
2,22,19.5,3,0.94
2,25,40.1,5,0.94
3,26,15.6,0,0.71
3,27,21.8,8,0.81
3,23,14.1,0,1.0
3,24,7.5,1,0.71
3,24,17.7,2,1.0
3,22,5.2,6,1.0
3,23,12.3,1,0.91
4,23,11.0,5,0.98
4,22,12.3,1,1.0
4,27,34.4,2,0.78
4,26,23.3,6,1.0
4,24,8.3,1,1.0
4,24,28.7,6,1.0
5,25,27.4,1,0.75
5,25,19.3,4,1.0
5,27,27.4,1,1.0
5,27,20.1,0,0.85
5,26,6.1,6,0.75
5,27,10.7,6,0.75
5,24,11.6,7,0.75
6,24,34.6,7,0.62
6,27,21.2,7,0.72
6,22,21.7,3,0.62
6,24,13.7,1,1.0
6,24,6.9,4,0.82
6,25,23.0,9,0.62
6,27,13.5,6,0.62
7,26,20.2,2,0.69
7,24,25.8,1,0.89
7,22,6.9,0,0.89
7,24,9.6,4,0.89
7,26,17.3,4,0.79
8,27,4.0,3,0.96
8,25,24.0,4,0.76
8,24,27.4,5,0.76
8,26,14.8,5,0.96
8,23,11.5,1,0.86
8,23,28.9,6,0.56
9,22,31.3,6,0.83
9,26,29.3,3,0.83
9,26,7.0,1,0.53
9,24,9.1,3,0.63
9,23,18.2,5,0.83
9,23,6.2,3,0.73
10,24,26.9,2,1.0
10,22,13.0,3,1.0
10,27,7.1,3,1.0
10,23,7.7,6,1.0
10,26,18.1,5,1.0
10,26,38.9,0,0.9
10,23,14.1,0,1.0
10,27,24.7,2,1.0
